node_id,reviewer_id,first_cycle,second_cycle,residu,category,first_sentiment_score,second_sentiment_score,overall_sentiment_score,first_rating,second_rating,overall_rating
154,32,lot,other,"{'dinner', 'parking'}",other,0.3333333333333333,0.8359375,0.8359375,2.6666666666666665,1.953125,1.953125
155,33,pickle,food,"{'advertised', 'thing', 'usual'}",food and drink,0.0,0.3516483516483517,0.3739130434782609,1.0,2.0549450549450547,2.0
156,33,extra,other,"{'advertised', 'thing', 'usual'}",other,0.25,0.8359375,0.8359375,1.0,1.953125,1.953125
157,33,price,service,"{'advertised', 'thing', 'usual'}",place and service,0.3333333333333333,0.35353535353535354,0.3671497584541063,3.0,2.0707070707070705,1.893719806763285
158,33,other,other,"{'advertised', 'thing', 'usual'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
159,34,minute,situation,"{'24/7', 'open', 'anyone', 'seat', 'accord'}",place and service,0.3333333333333333,0.36666666666666664,0.3671497584541063,1.3333333333333333,1.6,1.893719806763285
160,34,employee,service,"{'24/7', 'open', 'anyone', 'seat', 'accord'}",place and service,0.3333333333333333,0.35353535353535354,0.3671497584541063,1.6666666666666667,2.0707070707070705,1.893719806763285
161,34,window,place,"{'24/7', 'open', 'anyone', 'seat', 'accord'}",place and service,0.2857142857142857,0.3958333333333333,0.3671497584541063,1.1428571428571428,1.8958333333333333,1.893719806763285
162,34,other,other,"{'24/7', 'open', 'anyone', 'seat', 'accord'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
163,34,wait,situation,"{'24/7', 'open', 'anyone', 'seat', 'accord'}",place and service,0.2,0.36666666666666664,0.3671497584541063,1.0,1.6,1.893719806763285
164,35,service,service,{'everything'},place and service,0.4375,0.35353535353535354,0.3671497584541063,2.625,2.0707070707070705,1.893719806763285
165,35,other,other,{'everything'},other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
166,36,horrible,emotion,"{'eduardo', 'delgado', 'general', 'manger', 'omar'}",sentiment,0.0,0.6538461538461539,0.6538461538461539,1.0,2.6153846153846154,2.6153846153846154
167,36,location,place,"{'eduardo', 'delgado', 'general', 'manger', 'omar'}",place and service,0.2727272727272727,0.3958333333333333,0.3671497584541063,2.1818181818181817,1.8958333333333333,1.893719806763285
168,36,location,service,"{'eduardo', 'delgado', 'general', 'manger', 'omar'}",place and service,0.2727272727272727,0.35353535353535354,0.3671497584541063,2.1818181818181817,2.0707070707070705,1.893719806763285
169,36,store,place,"{'eduardo', 'delgado', 'general', 'manger', 'omar'}",place and service,0.5,0.3958333333333333,0.3671497584541063,2.0,1.8958333333333333,1.893719806763285
170,36,other,other,"{'eduardo', 'delgado', 'general', 'manger', 'omar'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
171,37,long,situation,"{'third', 'ups'}",place and service,0.2,0.36666666666666664,0.3671497584541063,1.6,1.6,1.893719806763285
172,37,3rd,other,"{'third', 'ups'}",other,0.0,0.8359375,0.8359375,1.0,1.953125,1.953125
