node_id,reviewer_id,first_cycle,second_cycle,category
265,52,food,food,food and drink
266,52,rude,emotion,sentiment
267,52,customer,service,place and service
268,53,manager,service,place and service
269,53,other,other,other
270,53,order,food,food and drink
271,54,place,place,place and service
272,54,food,food,food and drink
273,54,other,place,place and service
274,54,other,food,food and drink
275,54,order,food,food and drink
276,55,great,emotion,sentiment
277,55,drive,place,place and service
278,55,service,service,place and service
279,55,line,situation,place and service
280,55,long,situation,place and service
281,55,other,other,other
282,56,bad,emotion,sentiment
283,56,good,emotion,sentiment
284,56,other,other,other
285,57,service,service,place and service
286,57,line,situation,place and service
287,57,other,other,other
288,57,customer,service,place and service
289,57,food,food,food and drink
290,58,one,other,other
291,58,hour,situation,place and service
292,58,order,food,food and drink
293,59,other,food,food and drink
294,59,people,situation,place and service
295,59,place,place,place and service
296,59,hour,situation,place and service
297,60,other,other,other
298,60,order,food,food and drink
299,61,other,other,other
300,61,manager,service,place and service
301,61,time,service,place and service
302,61,3rd,other,other
303,62,rude,emotion,sentiment
304,62,lady,service,place and service
305,62,other,other,other
306,63,item,drink,food and drink
307,63,item,food,food and drink
308,63,window,place,place and service
309,63,issue,service,place and service
310,63,lady,service,place and service
311,63,other,other,other
312,63,order,food,food and drink
313,63,fry,food,food and drink
314,63,bag,other,other
315,64,price,service,place and service
316,64,other,place,place and service
317,64,order,food,food and drink
318,64,employee,service,place and service
319,64,lot,other,other
320,64,location,service,place and service
321,64,location,place,place and service
322,65,fry,food,food and drink
323,65,other,food,food and drink
324,66,drink,drink,food and drink
325,66,issue,service,place and service
326,66,staff,service,place and service
327,66,other,drink,food and drink
328,66,other,food,food and drink
329,66,taste,other,other
330,67,wrong,situation,place and service
331,67,order,food,food and drink
332,68,mcdonald,place,place and service
333,68,other,other,other
334,69,issue,service,place and service
335,69,other,situation,place and service
336,69,order,food,food and drink
337,69,mcdonalds,place,place and service
338,69,phone,other,other
339,70,drink,drink,food and drink
340,70,other,drink,food and drink
341,70,other,food,food and drink
342,70,large,situation,place and service
343,70,fry,food,food and drink
344,70,meal,food,food and drink
345,70,food,food,food and drink
346,71,next,other,other
347,71,night,situation,place and service
348,71,service,service,place and service
349,71,staff,service,place and service
350,71,management,service,place and service
351,71,other,place,place and service
352,71,phone,other,other
353,71,customer,service,place and service
354,72,place,place,place and service
355,72,good,emotion,sentiment
356,72,price,service,place and service
357,72,other,service,place and service
358,72,fry,food,food and drink
359,72,nugget,food,food and drink
360,72,food,food,food and drink
361,73,other,other,other
362,74,window,place,place and service
363,74,other,drink,food and drink
364,74,other,situation,place and service
365,75,bag,other,other
366,75,other,food,food and drink
367,76,item,drink,food and drink
368,76,item,food,food and drink
369,76,location,service,place and service
370,76,location,place,place and service
371,76,other,place,place and service
372,76,order,food,food and drink
373,77,good,emotion,sentiment
374,77,service,service,place and service
375,77,other,place,place and service
376,77,location,service,place and service
377,77,location,place,place and service
378,77,place,place,place and service
379,78,food,food,food and drink
380,78,other,other,other
381,79,great,emotion,sentiment
382,79,manager,service,place and service
383,79,service,service,place and service
384,79,other,service,place and service
385,79,customer,service,place and service
386,80,drive,place,place and service
387,81,manager,service,place and service
388,81,other,service,place and service
389,81,other,place,place and service
390,81,order,food,food and drink
391,81,new,other,other
392,81,sandwich,food,food and drink
393,81,crew,service,place and service
394,82,location,service,place and service
395,82,location,place,place and service
396,82,food,food,food and drink
397,82,staff,service,place and service
398,82,other,place,place and service
399,83,other,service,place and service
400,84,normal,situation,place and service
401,84,regular,service,place and service
402,84,regular,situation,place and service
403,84,store,place,place and service
404,84,other,food,food and drink
405,84,meal,food,food and drink
406,84,food,food,food and drink
407,85,great,emotion,sentiment
408,85,good,emotion,sentiment
409,85,day,situation,place and service
410,85,time,service,place and service
411,85,other,drink,food and drink
412,85,other,place,place and service
413,85,best,emotion,sentiment
414,85,coffee,drink,food and drink
415,86,great,emotion,sentiment
416,86,service,service,place and service
417,86,other,other,other
418,86,order,food,food and drink
419,86,hour,situation,place and service
420,86,location,service,place and service
421,86,location,place,place and service
422,86,place,place,place and service
423,87,meal,food,food and drink
424,87,happy,emotion,sentiment
425,87,burger,food,food and drink
426,87,other,other,other
427,88,job,other,other
428,88,line,situation,place and service
429,88,staff,service,place and service
430,88,other,service,place and service
431,88,other,food,food and drink
432,88,mcdonalds,place,place and service
433,88,food,food,food and drink
434,89,one,other,other
435,89,window,place,place and service
436,89,manager,service,place and service
437,89,time,service,place and service
438,89,other,place,place and service
439,89,order,food,food and drink
440,89,new,other,other
441,89,wrong,situation,place and service
442,89,mcdonalds,place,place and service
443,90,window,place,place and service
444,90,extra,other,other
445,90,time,service,place and service
446,90,other,other,other
447,90,fry,food,food and drink
448,90,meal,food,food and drink
449,90,night,situation,place and service
450,90,food,food,food and drink
451,91,3rd,other,other
452,91,drive,place,place and service
453,91,time,service,place and service
454,91,mess,situation,place and service
455,91,other,other,other
456,91,location,service,place and service
457,91,location,place,place and service
458,92,other,drink,food and drink
459,92,other,situation,place and service
460,92,experience,service,place and service
461,92,coffee,drink,food and drink
462,92,regular,service,place and service
463,92,regular,situation,place and service
464,93,one,other,other
465,93,employee,service,place and service
466,93,other,other,other
467,94,food,food,food and drink
468,94,place,place,place and service
469,94,other,other,other
470,95,lady,service,place and service
471,95,burger,food,food and drink
472,95,other,food,food and drink
473,96,time,service,place and service
474,96,staff,service,place and service
475,96,other,other,other
476,96,management,service,place and service
477,96,work,service,place and service
478,97,mess,situation,place and service
479,97,other,other,other
480,97,order,food,food and drink
481,97,employee,service,place and service
482,97,food,food,food and drink
483,98,service,service,place and service
484,98,order,food,food and drink
485,98,wrong,situation,place and service
486,98,rude,emotion,sentiment
487,98,location,service,place and service
488,98,location,place,place and service
489,98,place,place,place and service
490,99,ice,drink,food and drink
491,99,other,other,other
492,99,fry,food,food and drink
493,99,best,emotion,sentiment
494,99,cream,drink,food and drink
495,99,cream,food,food and drink
496,100,mcdonalds,place,place and service
497,100,people,situation,place and service
498,100,other,other,other
499,100,order,food,food and drink
